Particle # ,      x (cm)      ,      y (cm)      ,      z (cm)      ,  n_H (c^m-3)  ,   T_gas (K)   ,  T_dust (K)   , chi (Draine)  , Type (I|P|D)
       121 , +2.067101288E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       122 , +2.120103885E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       123 , +2.173106482E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       124 , +2.226109079E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       125 , +2.279111676E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       126 , +2.332114274E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       127 , +2.385116871E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       128 , +2.438119468E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       129 , +2.491122065E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       130 , +2.544124662E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       131 , +2.597127259E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       132 , +2.650129856E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       133 , +2.703132453E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       134 , +2.756135051E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       135 , +2.809137648E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       136 , +2.862140245E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       137 , +2.915142842E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       138 , +2.968145439E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       139 , +3.021148036E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       140 , +3.074150633E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       141 , +3.127153231E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       142 , +3.180155828E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       143 , +3.233158425E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       144 , +3.286161022E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       145 , +3.339163619E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       146 , +3.392166216E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       147 , +3.445168813E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       148 , +3.498171410E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       149 , +3.551174008E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       150 , +3.604176605E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       151 , +3.657179202E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       152 , +3.710181799E+13 , +0.000000000E+00 , +0.000000000E+00 , 3.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
