351,CH,D2CO,,CHD,DCO,,,9.21E-12,0.70,2000.0,,,,,
352,CH,CO2,,HCO,CO,,,2.94E-13,0.50,3000.0,,,,,
353,N,H2,,NH,H,,,4.65E-10,0.50,16606.0,,,,,
354,N,HD,,NH,D,,,2.32E-10,0.50,16606.0,,,,,
355,N,HD,,ND,H,,,2.32E-10,0.50,16606.0,,,,,
356,N,D2,,ND,D,,,4.65E-10,0.50,16606.0,,,,,
357,N,CH,,CN,H,,,2.10E-11,0.50,0.0,,,,,
358,N,CD,,ND,C,,,2.94E-11,0.50,6995.0,,,,,
359,N,CD,,CN,D,,,2.10E-11,0.50,0.0,,,,,
360,N,CH2,,NH,CH,,,1.00E-12,0.00,20400.0,,,,,
361,N,CH2,,HCN,H,,,3.95E-11,0.20,0.0,,,,,
362,N,NH,,N2,H,,,4.98E-11,0.00,0.0,,,,,
363,N,CHD,,NH,CD,,,5.00E-13,0.00,20400.0,,,,,
364,N,CHD,,ND,CH,,,5.00E-13,0.00,20400.0,,,,,
